@relation 'STORM_trainingSet_8-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute ' Size' numeric
@attribute ' LOC Touched' numeric
@attribute ' NR' numeric
@attribute ' NFix' numeric
@attribute ' NAuth' numeric
@attribute ' LOC Added' numeric
@attribute ' Max LOC Added' numeric
@attribute ' Average LOC Added' numeric
@attribute ' Churn' numeric
@attribute ' Max Churn' numeric
@attribute ' Average Churn' numeric
@attribute ' Bugginess' {yes,no}

@data
21,149,13,4,9,143,21,11,137,21,10.538462,yes
15,149,11,2,8,141,17,12.818182,133,17,12.090909,no
11,113,11,2,8,109,17,9.909091,105,17,9.545455,no
24,152,11,2,8,148,24,13.454545,144,24,13.090909,no
120,2980,86,14,31,2520,120,29.302326,2060,120,23.953488,yes
24,140,7,0,4,140,24,20,140,24,20,no
117,486,17,1,13,470,117,27.647059,454,117,26.705882,no
12,104,7,0,4,104,17,14.857143,104,17,14.857143,no
5,83,7,0,4,83,17,11.857143,83,17,11.857143,no
8,92,7,0,4,92,17,13.142857,92,17,13.142857,no
7,89,7,0,4,89,17,12.714286,89,17,12.714286,no
11,101,7,0,4,101,17,14.428571,101,17,14.428571,no
13,107,7,0,4,107,17,15.285714,107,17,15.285714,no
181,726,18,0,13,673,181,37.388889,620,181,34.444444,no
67,411,18,3,12,340,67,18.888889,269,67,14.944444,yes
5,83,7,0,4,83,17,11.857143,83,17,11.857143,no
14,110,7,0,4,110,17,15.714286,110,17,15.714286,no
15,113,7,0,4,113,17,16.142857,113,17,16.142857,no
208,776,16,2,8,734,208,45.875,692,208,43.25,yes
228,6233,122,27,33,4474,223,36.672131,2715,223,22.254098,yes
249,2960,65,5,29,2424,249,37.292308,1888,249,29.046154,yes
89,335,7,0,4,335,89,47.857143,335,89,47.857143,no
8,92,7,0,4,92,17,13.142857,92,17,13.142857,no
35,173,7,0,4,173,35,24.714286,173,35,24.714286,no
35,173,7,0,4,173,35,24.714286,173,35,24.714286,no
55,233,7,0,4,233,55,33.285714,233,55,33.285714,no
22,134,7,0,4,134,22,19.142857,134,22,19.142857,no
31,161,7,0,4,161,31,23,161,31,23,no
25,143,7,0,4,143,25,20.428571,143,25,20.428571,no
50,868,22,1,14,653,67,29.681818,438,50,19.909091,no
38,182,7,0,4,182,38,26,182,38,26,no
40,188,7,0,4,188,40,26.857143,188,40,26.857143,no
83,317,7,0,4,317,83,45.285714,317,83,45.285714,no
25,143,7,0,4,143,25,20.428571,143,25,20.428571,no
162,546,9,0,5,540,142,60,534,142,59.333333,no
25,143,7,0,4,143,25,20.428571,143,25,20.428571,no
44,200,7,0,4,200,44,28.571429,200,44,28.571429,no
7,89,7,0,4,89,17,12.714286,89,17,12.714286,no
44,200,7,0,4,200,44,28.571429,200,44,28.571429,no
164,632,15,0,12,592,164,39.466667,552,164,36.8,no
21,131,7,0,4,131,21,18.714286,131,21,18.714286,no
40,516,11,1,7,352,57,32,188,40,17.090909,no
34,442,7,0,4,306,51,43.714286,170,34,24.285714,no
