Release ID, Filepath, Size, LOC Touched, NR, NFix, NAuth, LOC Added, Max LOC Added, Average LOC Added, Churn, Max Churn, Average Churn, Bugginess
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,155,7,0,6,118,56,16.857142857142858,81,56,11.571428571428571,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,355,14,1,10,268,94,19.142857142857142,181,94,12.928571428571429,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,578,17,2,10,450,94,26.470588235294116,322,94,18.941176470588236,true
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,72,1,0,1,72,72,72.0,72,72,72.0,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,42,1,0,1,42,42,42.0,42,42,42.0,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,64,3,0,2,56,48,18.666666666666668,48,48,16.0,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,101,4,1,3,95,63,23.75,89,63,22.25,true
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237,432,8,1,4,406,237,50.75,380,237,47.5,true
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133,162,7,2,4,153,133,21.857142857142858,144,133,20.571428571428573,true
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,188,9,2,4,168,136,18.666666666666668,148,136,16.444444444444443,true
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177,211,5,1,4,201,176,40.2,191,176,38.2,true
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,48,2,0,2,47,46,23.5,46,46,23.0,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,128,227,6,0,3,196,127,32.666666666666664,165,127,27.5,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,149,185,7,0,4,178,148,25.428571428571427,171,148,24.428571428571427,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58,82,3,0,3,69,58,23.0,56,58,18.666666666666668,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149,213,6,1,4,196,149,32.666666666666664,179,149,29.833333333333332,true
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74,82,2,0,2,78,74,39.0,74,74,37.0,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,37,37,1,0,1,37,37,37.0,37,37,37.0,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,42,2,0,2,40,38,20.0,38,38,19.0,false
