ProjName, Classifier Name, Training%, Feature Selection, Sampling, Cost Sensitive, Precision, Recall, Kappa, TP, FP, TN, FN, areaUnderROC, fMeasure
BOOKKEEPER,NaiveBayes,68.40247131509267,featureSelection,no,costSensitive,0.6444444444444445,0.725,0.639731643682445,29.0,302.0,16.0,11.0,0.948624213836478,0.6823529411764706
BOOKKEEPER,IBk,68.40247131509267,no,no,no,0.5952380952380952,0.625,0.5593168179719956,25.0,301.0,17.0,15.0,0.819496855345912,0.6097560975609756
BOOKKEEPER,IBk,68.40247131509267,featureSelection,no,no,0.8888888888888888,0.6,0.6883533400531475,24.0,315.0,3.0,16.0,0.9378930817610063,0.7164179104477612
BOOKKEEPER,IBk,68.40247131509267,no,sampling,no,0.5909090909090909,0.65,0.5685447423922867,26.0,300.0,18.0,14.0,0.7736635220125786,0.6190476190476191
BOOKKEEPER,IBk,68.40247131509267,no,no,costSensitive,0.6097560975609756,0.625,0.5684734427249398,25.0,302.0,16.0,15.0,0.820558176100629,0.6172839506172839
BOOKKEEPER,IBk,68.40247131509267,featureSelection,sampling,no,0.7368421052631579,0.7,0.6834914000964476,28.0,308.0,10.0,12.0,0.9325078616352201,0.717948717948718
BOOKKEEPER,IBk,68.40247131509267,featureSelection,no,costSensitive,0.43243243243243246,0.8,0.48698842141465093,32.0,276.0,42.0,8.0,0.9346305031446541,0.5614035087719298
BOOKKEEPER,RandomForest,75.03311258278146,no,no,no,0.55,0.3793103448275862,0.41206030150753803,11.0,339.0,9.0,18.0,0.9213733650416172,0.4489795918367347
BOOKKEEPER,RandomForest,75.03311258278146,featureSelection,no,no,0.7142857142857143,0.3448275862068966,0.4369114877589455,10.0,344.0,4.0,19.0,0.9253369005152596,0.46511627906976755
BOOKKEEPER,RandomForest,75.03311258278146,no,sampling,no,0.6153846153846154,0.5517241379310345,0.5490196078431373,16.0,338.0,10.0,13.0,0.9324712643678161,0.5818181818181819
BOOKKEEPER,RandomForest,75.03311258278146,no,no,costSensitive,0.5757575757575758,0.6551724137931034,0.578378378378378,19.0,334.0,14.0,10.0,0.9378220372572335,0.6129032258064515
BOOKKEEPER,RandomForest,75.03311258278146,featureSelection,sampling,no,0.36,0.3103448275862069,0.2822085889570557,9.0,332.0,16.0,20.0,0.8980380499405469,0.3333333333333333
BOOKKEEPER,RandomForest,75.03311258278146,featureSelection,no,costSensitive,0.42592592592592593,0.7931034482758621,0.5046343975283214,23.0,317.0,31.0,6.0,0.917063020214031,0.5542168674698795
BOOKKEEPER,NaiveBayes,75.03311258278146,no,no,no,0.40350877192982454,0.7931034482758621,0.4820717131474101,23.0,314.0,34.0,6.0,0.9436187078874356,0.5348837209302325
BOOKKEEPER,NaiveBayes,75.03311258278146,featureSelection,no,no,0.5925925925925926,0.5517241379310345,0.5370919881305635,16.0,337.0,11.0,13.0,0.911761791518034,0.5714285714285714
BOOKKEEPER,NaiveBayes,75.03311258278146,no,sampling,no,0.36231884057971014,0.8620689655172413,0.4507042253521127,25.0,304.0,44.0,4.0,0.9150317082837891,0.5102040816326531
BOOKKEEPER,NaiveBayes,75.03311258278146,no,no,costSensitive,0.313953488372093,0.9310344827586207,0.4006046863189718,27.0,289.0,59.0,2.0,0.9453032104637337,0.46956521739130436
BOOKKEEPER,NaiveBayes,75.03311258278146,featureSelection,sampling,no,0.5666666666666667,0.5862068965517241,0.5403111739745405,17.0,335.0,13.0,12.0,0.893479984145858,0.576271186440678
BOOKKEEPER,NaiveBayes,75.03311258278146,featureSelection,no,costSensitive,0.5142857142857142,0.6206896551724138,0.5223097112860894,18.0,331.0,17.0,11.0,0.922760602457392,0.5625
BOOKKEEPER,IBk,75.03311258278146,no,no,no,0.46153846153846156,0.41379310344827586,0.39215686274509776,12.0,334.0,14.0,17.0,0.7019421323820848,0.43636363636363634
BOOKKEEPER,IBk,75.03311258278146,featureSelection,no,no,0.6428571428571429,0.3103448275862069,0.3879472693032018,9.0,343.0,5.0,20.0,0.9070055489496631,0.4186046511627907
BOOKKEEPER,IBk,75.03311258278146,no,sampling,no,0.4,0.4827586206896552,0.38582677165354384,14.0,327.0,21.0,15.0,0.7344926674593738,0.43750000000000006
BOOKKEEPER,IBk,75.03311258278146,no,no,costSensitive,0.5,0.4482758620689655,0.43137254901960825,13.0,335.0,13.0,16.0,0.7207193816884662,0.4727272727272727
