@relation 'BOOKKEEPER_trainingSet_4-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute ' Size' numeric
@attribute ' LOC Touched' numeric
@attribute ' NR' numeric
@attribute ' NFix' numeric
@attribute ' NAuth' numeric
@attribute ' LOC Added' numeric
@attribute ' Max LOC Added' numeric
@attribute ' Average LOC Added' numeric
@attribute ' Churn' numeric
@attribute ' Max Churn' numeric
@attribute ' Average Churn' numeric
@attribute ' Bugginess' {no,yes}

@data
107,141,8,2,4,124,98,15.5,107,98,13.375,no
70,70,1,0,1,70,70,70,70,70,70,no
31,33,2,0,2,32,31,16,31,31,15.5,no
32,34,2,0,2,33,32,16.5,32,32,16,no
227,331,3,0,2,279,226,93,227,226,75.666667,no
215,470,21,1,10,358,177,17.047619,246,177,11.714286,no
273,541,18,3,14,421,260,23.388889,301,260,16.722222,no
460,815,28,3,15,650,425,23.214286,485,425,17.321429,no
138,386,9,1,7,262,137,29.111111,138,137,15.333333,no
358,1092,18,2,10,697,294,38.722222,302,252,16.777778,no
1248,9918,165,23,35,5024,545,30.448485,130,545,0.787879,no
51,62,3,0,3,59,52,19.666667,56,52,18.666667,no
157,485,19,2,13,428,84,22.526316,371,82,19.526316,no
31,35,2,0,2,33,33,16.5,31,33,15.5,no
981,9563,170,8,45,6218,684,36.576471,2873,684,16.9,no
180,776,21,0,13,537,168,25.571429,298,168,14.190476,no
262,1436,39,3,20,980,195,25.128205,524,195,13.435897,no
553,5776,88,12,28,3541,643,40.238636,1306,487,14.840909,no
40,54,2,1,2,47,40,23.5,40,40,20,no
369,1308,40,7,15,943,124,23.575,578,124,14.45,no
390,847,27,3,16,620,228,22.962963,393,211,14.555556,no
51,73,4,0,4,61,51,15.25,49,51,12.25,no
577,2900,92,8,34,1858,378,20.195652,816,378,8.869565,no
32,34,2,0,2,33,32,16.5,32,32,16,no
66,176,6,1,4,124,69,20.666667,72,69,12,no
188,1417,74,8,23,1074,183,14.513514,731,183,9.878378,no
582,3739,117,6,42,2528,550,21.606838,1317,550,11.25641,no
160,660,25,3,14,496,157,19.84,332,157,13.28,no
50,1550,28,4,13,833,536,29.75,116,536,4.142857,no
27,133,2,0,1,80,79,40,27,79,13.5,no
923,2251,39,12,14,1245,712,31.923077,239,712,6.128205,no
60,70,2,0,1,60,60,30,50,60,25,no
62,513,26,2,15,303,133,11.653846,93,133,3.576923,no
87,374,29,1,16,279,113,9.62069,184,113,6.344828,no
52,68,6,1,4,60,53,10,52,53,8.666667,no
268,1137,33,4,16,796,240,24.121212,455,240,13.787879,no
163,496,13,1,8,414,151,31.846154,332,151,25.538462,no
109,536,36,3,22,459,91,12.75,382,91,10.611111,no
147,150,2,0,2,148,147,74,146,147,73,no
58,86,8,0,5,67,58,8.375,48,58,6,no
44,58,3,0,3,50,44,16.666667,42,44,14,no
106,822,35,3,18,578,125,16.514286,334,122,9.542857,no
139,657,14,1,8,481,126,34.357143,305,126,21.785714,no
326,1002,37,2,19,753,249,20.351351,504,249,13.621622,no
648,4758,112,12,31,3212,410,28.678571,1666,410,14.875,no
792,4963,112,12,34,3405,714,30.401786,1847,714,16.491071,no
319,1523,42,9,21,804,204,19.142857,85,204,2.02381,no
55,83,4,0,3,68,50,17,53,50,13.25,no
191,446,14,2,8,343,184,24.5,240,184,17.142857,no
90,434,16,1,10,351,103,21.9375,268,100,16.75,no
273,784,32,2,19,641,274,20.03125,498,274,15.5625,no
137,1085,46,2,16,780,195,16.956522,475,185,10.326087,no
79,272,17,1,9,209,80,12.294118,146,80,8.588235,no
82,326,14,0,9,218,83,15.571429,110,83,7.857143,no
147,415,20,1,12,332,112,16.6,249,112,12.45,no
422,1520,44,2,20,1089,298,24.75,658,298,14.954545,no
979,8100,158,25,37,5237,547,33.14557,2374,547,15.025316,no
495,2468,64,13,15,1394,198,21.78125,320,198,5,yes
189,852,41,3,15,580,140,14.146341,308,140,7.512195,no
167,828,40,6,14,539,178,13.475,250,178,6.25,yes
86,169,11,1,7,131,67,11.909091,93,67,8.454545,no
182,1211,64,9,21,857,138,13.390625,503,138,7.859375,no
361,2794,79,14,21,1603,170,20.291139,412,170,5.21519,yes
126,468,32,6,11,315,101,9.84375,162,101,5.0625,no
106,767,33,4,14,559,231,16.939394,351,208,10.636364,no
109,787,19,2,12,625,299,32.894737,463,261,24.368421,no
85,89,3,0,3,87,85,29,85,85,28.333333,no
236,1714,69,4,28,1517,143,21.985507,1320,135,19.130435,no
315,3060,87,14,37,2635,216,30.287356,2210,216,25.402299,no
695,5528,152,17,41,4851,377,31.914474,4174,377,27.460526,no
27,27,1,0,1,27,27,27,27,27,27,no
89,95,3,1,1,92,84,30.666667,89,84,29.666667,no
301,1612,63,11,22,1154,251,18.31746,696,251,11.047619,no
153,499,24,6,11,318,193,13.25,137,193,5.708333,no
92,235,21,1,12,166,72,7.904762,97,72,4.619048,no
466,1562,33,11,13,849,514,25.727273,136,514,4.121212,no
93,244,16,1,8,145,72,9.0625,46,72,2.875,no
244,645,20,0,13,388,204,19.4,131,204,6.55,no
192,625,19,3,9,422,144,22.210526,219,144,11.526316,no
252,802,24,1,11,464,145,19.333333,126,109,5.25,no
109,362,20,1,10,315,64,15.75,268,64,13.4,no
601,1623,38,3,14,1225,691,32.236842,827,691,21.763158,no
565,1893,54,6,22,1493,394,27.648148,1093,394,20.240741,no
69,75,2,1,1,72,65,36,69,65,34.5,no
77,83,4,0,3,81,77,20.25,79,77,19.75,no
94,111,5,1,3,103,94,20.6,95,94,19,no
337,454,6,0,4,417,337,69.5,380,337,63.333333,no
214,251,3,0,3,245,214,81.666667,239,214,79.666667,no
79,96,3,0,3,86,79,28.666667,76,79,25.333333,no
25,32,3,0,3,30,25,10,28,25,9.333333,no
84,103,3,0,3,96,84,32,89,84,29.666667,no
34,39,3,0,3,38,34,12.666667,37,34,12.333333,no
33,40,4,0,4,38,33,9.5,36,33,9,no
104,131,3,0,3,118,104,39.333333,105,104,35,no
172,233,5,0,5,213,172,42.6,193,172,38.6,no
70,74,3,0,3,72,70,24,70,70,23.333333,no
140,145,4,0,3,142,140,35.5,139,140,34.75,no
156,193,9,1,8,176,154,19.555556,159,154,17.666667,no
248,297,5,1,4,271,236,54.2,245,236,49,no
277,2716,55,10,22,1500,178,27.272727,284,178,5.163636,no
189,1213,44,2,21,866,206,19.681818,519,189,11.795455,no
194,1548,38,1,13,1110,164,29.210526,672,136,17.684211,no
346,1215,39,6,16,946,158,24.25641,677,158,17.358974,no
304,741,16,0,9,427,303,26.6875,113,303,7.0625,no
356,2165,88,15,30,1266,209,14.386364,367,209,4.170455,no
84,110,5,2,3,96,90,19.2,82,90,16.4,no
53,63,2,1,2,58,58,29,53,58,26.5,no
132,446,22,1,14,401,76,18.227273,356,75,16.181818,no
4088,9103,10,1,5,7703,2779,770.3,6303,1493,630.3,no
691,9763,150,26,44,6369,573,42.46,2975,573,19.833333,no
47,93,8,0,5,74,40,9.25,55,40,6.875,no
101,232,4,2,4,168,148,42,104,148,26,no
510,6476,79,11,33,3566,848,45.139241,656,827,8.303797,no
328,1092,33,4,19,691,269,20.939394,290,269,8.787879,no
273,784,38,7,16,587,267,15.447368,390,267,10.263158,no
136,274,15,3,8,200,139,13.333333,126,139,8.4,no
